region,drivmedel,årmånad,antal
13 Hallands län,diesel,202109,75
13 Hallands län,diesel,202110,66
13 Hallands län,diesel,202111,78
13 Hallands län,diesel,202112,100
13 Hallands län,diesel,202201,87
13 Hallands län,diesel,202202,77
14 Västra Götalands län,bensin,202003,2163
14 Västra Götalands län,bensin,202004,1539
14 Västra Götalands län,bensin,202005,1364
14 Västra Götalands län,bensin,202006,2108
14 Västra Götalands län,bensin,202007,1753
14 Västra Götalands län,bensin,202008,1955
14 Västra Götalands län,bensin,202009,1976
14 Västra Götalands län,bensin,202010,1981
14 Västra Götalands län,bensin,202011,1732
14 Västra Götalands län,bensin,202012,1656
14 Västra Götalands län,bensin,202101,1596
14 Västra Götalands län,bensin,202102,1761
14 Västra Götalands län,bensin,202103,3082
14 Västra Götalands län,bensin,202104,1495
14 Västra Götalands län,bensin,202105,1582
14 Västra Götalands län,bensin,202106,1854
14 Västra Götalands län,bensin,202107,1195
14 Västra Götalands län,bensin,202108,1203
14 Västra Götalands län,bensin,202109,1353
14 Västra Götalands län,bensin,202110,1342
14 Västra Götalands län,bensin,202111,1138
14 Västra Götalands län,bensin,202112,1222
14 Västra Götalands län,bensin,202201,987
14 Västra Götalands län,bensin,202202,1034
14 Västra Götalands län,diesel,202003,854
14 Västra Götalands län,diesel,202004,625
14 Västra Götalands län,diesel,202005,551
14 Västra Götalands län,diesel,202006,910
14 Västra Götalands län,diesel,202007,722
14 Västra Götalands län,diesel,202008,756
14 Västra Götalands län,diesel,202009,704
14 Västra Götalands län,diesel,202010,597
14 Västra Götalands län,diesel,202011,572
14 Västra Götalands län,diesel,202012,820
14 Västra Götalands län,diesel,202101,543
14 Västra Götalands län,diesel,202102,579
14 Västra Götalands län,diesel,202103,1575
14 Västra Götalands län,diesel,202104,439
14 Västra Götalands län,diesel,202105,511
14 Västra Götalands län,diesel,202106,742
14 Västra Götalands län,diesel,202107,452
14 Västra Götalands län,diesel,202108,374
14 Västra Götalands län,diesel,202109,399
14 Västra Götalands län,diesel,202110,391
14 Västra Götalands län,diesel,202111,433
14 Västra Götalands län,diesel,202112,463
14 Västra Götalands län,diesel,202201,337
14 Västra Götalands län,diesel,202202,418
15 f.d. Älvsborgs län,bensin,202003,0
15 f.d. Älvsborgs län,bensin,202004,0
15 f.d. Älvsborgs län,bensin,202005,0
15 f.d. Älvsborgs län,bensin,202006,0
15 f.d. Älvsborgs län,bensin,202007,0
15 f.d. Älvsborgs län,bensin,202008,0
15 f.d. Älvsborgs län,bensin,202009,0
15 f.d. Älvsborgs län,bensin,202010,0
15 f.d. Älvsborgs län,bensin,202011,0
15 f.d. Älvsborgs län,bensin,202012,0
